item_code,region,segment,format,sales_total,sales_mean,units_total,units_mean,price_mean,var_pct_mean,high_value_ratio,high_turnover_ratio,n_weeks,cluster,cluster_nombre
7501058715098,Area 4,Powder,Polvo,0.116,0.058,0.002,0.001,58.0,-99.9,1.0,0.0,2,0,Presencia Marginal
7501058715098,Area 5,Powder,Polvo,2.578,0.11718181818181818,0.049,0.0022272727272727275,53.61000000000001,-99.85909090909091,1.0,0.09090909090909091,22,0,Presencia Marginal
7501058715098,Area 6,Powder,Polvo,0.481,0.06871428571428571,0.009000000000000001,0.0012857142857142859,54.92857142857143,-99.9,0.8571428571428571,0.0,7,0,Presencia Marginal
7501058715364,Area 6,Liquid & Gel,Liquido,21.124,0.26739240506329115,1.038,0.013139240506329114,20.561772151898737,-99.73291139240507,0.0,0.7974683544303798,79,1,Volumen Diversificado
7501058715531,Area 1,Liquid & Gel,Gel,266.289,6.340214285714286,20.373,0.4850714285714286,13.67690476190476,-91.36880952380952,0.0,1.0,42,1,Volumen Diversificado
7501058715531,Area 2,Liquid & Gel,Gel,475.772,11.327904761904762,34.903999999999996,0.8310476190476189,14.086190476190476,-83.60214285714285,0.0,1.0,42,1,Volumen Diversificado
7501058715531,Area 3,Liquid & Gel,Gel,553.132,13.169809523809523,41.687,0.992547619047619,13.949523809523809,-82.93261904761906,0.0,0.9761904761904762,42,1,Volumen Diversificado
7501058715531,Area 4,Liquid & Gel,Gel,534.25,12.720238095238095,40.75,0.9702380952380952,13.899999999999999,-82.93214285714286,0.0,0.9761904761904762,42,1,Volumen Diversificado
7501058715531,Area 5,Liquid & Gel,Gel,664.86,15.83,50.289,1.1973571428571428,13.925476190476191,-86.27142857142857,0.0,1.0,42,1,Volumen Diversificado
7501058715531,Area 6,Liquid & Gel,Gel,493.679,11.754261904761904,36.928,0.8792380952380952,13.94857142857143,-83.37690476190475,0.0,1.0,42,1,Volumen Diversificado
7501058715883,Area 1,Powder,Polvo,1756.501,21.9562625,7.403,0.0925375,238.37662500000002,-94.915875,1.0,0.0,80,2,Nicho Premium
7501058715883,Area 2,Powder,Polvo,3008.714,37.608925,12.58,0.15725,240.525,-90.480625,1.0,0.0,80,2,Nicho Premium
7501058715883,Area 3,Powder,Polvo,4404.632,55.0579,18.254,0.22817500000000002,242.04375,-90.094375,1.0,0.025,80,2,Nicho Premium
7501058715883,Area 4,Powder,Polvo,3220.278,40.253474999999995,13.563,0.1695375,239.531,-91.971375,1.0,0.025,80,2,Nicho Premium
7501058715883,Area 5,Powder,Polvo,11930.064,149.1258,50.297,0.6287125,238.962375,-82.636375,1.0,0.7,80,3,Motor de Ingresos
7501058715883,Area 6,Powder,Polvo,2490.897,31.1362125,10.328,0.1291,242.365,-93.265625,1.0,0.0,80,2,Nicho Premium
7501058715890,Area 1,Powder,Polvo,2224.235,27.802937500000002,9.527,0.11908749999999999,234.228,-94.0435,1.0,0.0,80,2,Nicho Premium
7501058715890,Area 2,Powder,Polvo,3431.407,42.892587500000005,14.559,0.1819875,236.29775,-89.51675,1.0,0.0,80,2,Nicho Premium
7501058715890,Area 3,Powder,Polvo,4672.147,58.4018375,19.826999999999998,0.2478375,237.19587499999997,-89.84400000000001,1.0,0.0375,80,2,Nicho Premium
7501058715890,Area 4,Powder,Polvo,3138.711,39.233887499999994,13.431000000000001,0.16788750000000002,236.12224999999998,-92.075375,1.0,0.025,80,2,Nicho Premium
7501058715890,Area 5,Powder,Polvo,10686.597,133.5824625,46.008,0.5751000000000001,235.028125,-83.42125,1.0,0.45,80,3,Motor de Ingresos
7501058715890,Area 6,Powder,Polvo,2735.94,34.19925,11.604,0.14504999999999998,237.655875,-92.90875,1.0,0.0,80,2,Nicho Premium
7501058716064,Area 1,Powder,Polvo,186.25300000000001,2.3576329113924053,1.588,0.020101265822784813,135.10367088607595,-98.89430379746835,1.0,0.02531645569620253,79,2,Nicho Premium
7501058716064,Area 2,Powder,Polvo,316.828,3.9603499999999996,2.707,0.0338375,129.622875,-97.8485,1.0,0.0,80,2,Nicho Premium
7501058716064,Area 3,Powder,Polvo,263.166,3.289575,2.194,0.027424999999999998,131.918375,-98.736125,1.0,0.0625,80,2,Nicho Premium
7501058716064,Area 4,Powder,Polvo,303.04,3.7880000000000003,2.469,0.030862499999999998,135.11200000000002,-98.40225000000001,1.0,0.05,80,2,Nicho Premium
7501058716064,Area 5,Powder,Polvo,642.946,8.036825,4.839,0.06048750000000001,141.639625,-97.821625,1.0,0.15,80,2,Nicho Premium
7501058716064,Area 6,Powder,Polvo,710.048,8.8756,5.2700000000000005,0.065875,142.152625,-96.7355,1.0,0.0375,80,2,Nicho Premium
7501058716071,Area 1,Powder,Polvo,183.932,2.29915,1.539,0.019237499999999998,135.45250000000001,-98.988875,1.0,0.0375,80,2,Nicho Premium
7501058716071,Area 2,Powder,Polvo,245.309,3.1051772151898733,2.097,0.026544303797468354,131.8532911392405,-98.37822784810126,1.0,0.02531645569620253,79,2,Nicho Premium
7501058716071,Area 3,Powder,Polvo,286.378,3.6715128205128202,2.328,0.029846153846153845,135.6971794871795,-98.68871794871795,1.0,0.07692307692307693,78,2,Nicho Premium
7501058716071,Area 4,Powder,Polvo,356.956,4.46195,2.695,0.033687499999999995,144.78074999999998,-98.309375,1.0,0.0375,80,2,Nicho Premium
7501058716071,Area 5,Powder,Polvo,877.567,10.9695875,6.233,0.0779125,149.290625,-97.49600000000001,1.0,0.35,80,2,Nicho Premium
7501058716071,Area 6,Powder,Polvo,778.574,9.732175,5.671,0.0708875,145.325875,-96.80437500000001,1.0,0.075,80,2,Nicho Premium
7501058716088,Area 1,Liquid & Gel,Liquido,617.299,7.7162375,4.155,0.051937500000000004,151.852375,-97.5845,1.0,0.075,80,2,Nicho Premium
7501058716088,Area 2,Liquid & Gel,Liquido,1702.639,21.282987499999997,12.457,0.1557125,146.26125,-93.174375,1.0,0.0375,80,2,Nicho Premium
7501058716088,Area 3,Liquid & Gel,Liquido,1270.914,15.886425,8.507,0.1063375,155.81900000000002,-96.275625,1.0,0.275,80,2,Nicho Premium
7501058716088,Area 4,Liquid & Gel,Liquido,1115.342,13.941775000000002,7.912,0.0989,149.203,-95.91312500000001,1.0,0.0875,80,2,Nicho Premium
7501058716088,Area 5,Liquid & Gel,Liquido,2611.001,32.6375125,17.374,0.21717499999999998,155.75074999999998,-94.285875,1.0,0.6125,80,2,Nicho Premium
7501058716088,Area 6,Liquid & Gel,Liquido,1877.382,23.467275,12.785,0.1598125,149.36012499999998,-94.06625,1.0,0.225,80,2,Nicho Premium
7501058716095,Area 1,Liquid & Gel,Liquido,408.867,5.110837500000001,2.741,0.0342625,153.715875,-97.99175,1.0,0.0125,80,2,Nicho Premium
7501058716095,Area 2,Liquid & Gel,Liquido,1095.046,13.688075000000001,8.1,0.10124999999999999,146.96475,-94.56174999999999,1.0,0.0125,80,2,Nicho Premium
7501058716095,Area 3,Liquid & Gel,Liquido,749.533,9.3691625,4.999,0.062487499999999994,157.46300000000002,-96.90650000000001,1.0,0.0375,80,2,Nicho Premium
7501058716095,Area 4,Liquid & Gel,Liquido,678.1610000000001,8.4770125,4.742,0.059275,151.43025,-96.716375,1.0,0.025,80,2,Nicho Premium
7501058716095,Area 5,Liquid & Gel,Liquido,1535.996,19.19995,10.233,0.1279125,155.45250000000001,-95.329625,1.0,0.1625,80,2,Nicho Premium
7501058716095,Area 6,Liquid & Gel,Liquido,1211.528,15.1441,8.225,0.1028125,149.878625,-94.810375,1.0,0.0,80,2,Nicho Premium
7501058716422,Area 1,Powder,Polvo,67.899,0.8594810126582278,0.954,0.012075949367088607,71.26177215189874,-99.50126582278482,1.0,0.13924050632911392,79,2,Nicho Premium
7501058716422,Area 2,Powder,Polvo,89.13,1.114125,1.41,0.017625,67.0135,-99.14874999999999,1.0,0.0625,80,2,Nicho Premium
7501058716422,Area 3,Powder,Polvo,150.03,1.875375,2.348,0.029349999999999998,67.20287499999999,-98.95875,0.9875,0.2375,80,2,Nicho Premium
7501058716422,Area 4,Powder,Polvo,176.469,2.2058625,2.714,0.033925,67.94987499999999,-98.778625,0.9875,0.2125,80,2,Nicho Premium
7501058716422,Area 5,Powder,Polvo,396.885,4.9610625,6.124,0.07654999999999999,67.987,-97.98362499999999,0.9875,0.4875,80,2,Nicho Premium
7501058716422,Area 6,Powder,Polvo,231.458,2.893225,3.2520000000000002,0.040650000000000006,71.0025,-98.708625,1.0,0.425,80,2,Nicho Premium
7501058716439,Area 1,Powder,Polvo,0.021,0.0105,0.0,0.0,0.0,-100.0,0.0,0.0,2,0,Presencia Marginal
7501058716439,Area 2,Powder,Polvo,0.007,0.007,0.0,0.0,0.0,-100.0,0.0,0.0,1,0,Presencia Marginal
7501058716439,Area 6,Powder,Polvo,0.007,0.007,0.0,0.0,0.0,-100.0,0.0,0.0,1,0,Presencia Marginal
7501058716446,Area 6,Powder,Polvo,0.007,0.007,0.001,0.001,7.0,-99.9,0.0,0.0,1,0,Presencia Marginal
7501058716453,Area 1,Liquid & Gel,Liquido,6.218,0.16805405405405405,0.124,0.0033513513513513515,47.13675675675675,-99.8,0.7027027027027027,0.08108108108108109,37,0,Presencia Marginal
7501058716453,Area 2,Liquid & Gel,Liquido,14.138,0.26675471698113207,0.23299999999999998,0.00439622641509434,60.83075471698113,-99.74905660377358,0.8679245283018868,0.03773584905660377,53,2,Nicho Premium
7501058716453,Area 3,Liquid & Gel,Liquido,6.246,0.26025000000000004,0.095,0.003958333333333334,66.59541666666667,-99.77499999999999,1.0,0.0,24,0,Presencia Marginal
